threshold,tn,fp,fn,tp,n_flagged,recall,precision,cost_fn_total,cost_fp_total,total_cost
0.05,116,661,0,280,941,1.0,0.2975557917109458,0.0,33050.0,33050.0
0.060000000000000005,138,639,0,280,919,1.0,0.30467899891186073,0.0,31950.0,31950.0
0.07,168,609,0,280,889,1.0,0.31496062992125984,0.0,30450.0,30450.0
0.08000000000000002,189,588,0,280,868,1.0,0.3225806451612903,0.0,29400.0,29400.0
0.09000000000000001,201,576,0,280,856,1.0,0.32710280373831774,0.0,28800.0,28800.0
0.1,220,557,0,280,837,1.0,0.3345280764635603,0.0,27850.0,27850.0
0.11000000000000001,246,531,0,280,811,1.0,0.34525277435265106,0.0,26550.0,26550.0
0.12000000000000001,258,519,1,279,798,0.9964285714285714,0.34962406015037595,1500.0,25950.0,27450.0
0.13,271,506,2,278,784,0.9928571428571429,0.35459183673469385,3000.0,25300.0,28300.0
0.14,289,488,5,275,763,0.9821428571428571,0.36041939711664484,7500.0,24400.0,31900.0
0.15000000000000002,302,475,5,275,750,0.9821428571428571,0.36666666666666664,7500.0,23750.0,31250.0
0.16000000000000003,317,460,7,273,733,0.975,0.37244201909959074,10500.0,23000.0,33500.0
0.17000000000000004,325,452,7,273,725,0.975,0.37655172413793103,10500.0,22600.0,33100.0
0.18000000000000005,334,443,7,273,716,0.975,0.3812849162011173,10500.0,22150.0,32650.0
0.19,345,432,7,273,705,0.975,0.3872340425531915,10500.0,21600.0,32100.0
0.2,357,420,12,268,688,0.9571428571428572,0.38953488372093026,18000.0,21000.0,39000.0
0.21000000000000002,366,411,14,266,677,0.95,0.3929098966026588,21000.0,20550.0,41550.0
0.22000000000000003,373,404,15,265,669,0.9464285714285714,0.3961136023916293,22500.0,20200.0,42700.0
0.23000000000000004,387,390,15,265,655,0.9464285714285714,0.40458015267175573,22500.0,19500.0,42000.0
0.24000000000000005,399,378,16,264,642,0.9428571428571428,0.411214953271028,24000.0,18900.0,42900.0
0.25000000000000006,405,372,16,264,636,0.9428571428571428,0.41509433962264153,24000.0,18600.0,42600.0
0.26000000000000006,415,362,17,263,625,0.9392857142857143,0.4208,25500.0,18100.0,43600.0
0.27,421,356,18,262,618,0.9357142857142857,0.42394822006472493,27000.0,17800.0,44800.0
0.28,425,352,18,262,614,0.9357142857142857,0.42671009771986973,27000.0,17600.0,44600.0
0.29000000000000004,433,344,20,260,604,0.9285714285714286,0.4304635761589404,30000.0,17200.0,47200.0
0.30000000000000004,438,339,22,258,597,0.9214285714285714,0.4321608040201005,33000.0,16950.0,49950.0
0.31000000000000005,446,331,22,258,589,0.9214285714285714,0.4380305602716469,33000.0,16550.0,49550.0
0.32000000000000006,450,327,23,257,584,0.9178571428571428,0.4400684931506849,34500.0,16350.0,50850.0
0.33,453,324,23,257,581,0.9178571428571428,0.4423407917383821,34500.0,16200.0,50700.0
0.34,456,321,24,256,577,0.9142857142857143,0.4436741767764298,36000.0,16050.0,52050.0
0.35000000000000003,464,313,24,256,569,0.9142857142857143,0.44991212653778556,36000.0,15650.0,51650.0
0.36000000000000004,471,306,25,255,561,0.9107142857142857,0.45454545454545453,37500.0,15300.0,52800.0
0.37000000000000005,476,301,26,254,555,0.9071428571428571,0.45765765765765765,39000.0,15050.0,54050.0
0.38000000000000006,483,294,27,253,547,0.9035714285714286,0.4625228519195612,40500.0,14700.0,55200.0
0.39000000000000007,489,288,29,251,539,0.8964285714285715,0.46567717996289426,43500.0,14400.0,57900.0
0.4000000000000001,498,279,35,245,524,0.875,0.4675572519083969,52500.0,13950.0,66450.0
0.4100000000000001,508,269,35,245,514,0.875,0.4766536964980545,52500.0,13450.0,65950.0
0.42000000000000004,516,261,37,243,504,0.8678571428571429,0.48214285714285715,55500.0,13050.0,68550.0
0.43000000000000005,523,254,39,241,495,0.8607142857142858,0.4868686868686869,58500.0,12700.0,71200.0
0.44000000000000006,530,247,41,239,486,0.8535714285714285,0.49176954732510286,61500.0,12350.0,73850.0
0.45000000000000007,535,242,44,236,478,0.8428571428571429,0.49372384937238495,66000.0,12100.0,78100.0
0.4600000000000001,543,234,47,233,467,0.8321428571428572,0.4989293361884368,70500.0,11700.0,82200.0
0.4700000000000001,544,233,49,231,464,0.825,0.4978448275862069,73500.0,11650.0,85150.0
0.4800000000000001,551,226,52,228,454,0.8142857142857143,0.5022026431718062,78000.0,11300.0,89300.0
0.49000000000000005,558,219,53,227,446,0.8107142857142857,0.5089686098654709,79500.0,10950.0,90450.0
0.5000000000000001,567,210,60,220,430,0.7857142857142857,0.5116279069767442,90000.0,10500.0,100500.0
0.5100000000000001,573,204,61,219,423,0.7821428571428571,0.5177304964539007,91500.0,10200.0,101700.0
0.5200000000000001,577,200,63,217,417,0.775,0.5203836930455635,94500.0,10000.0,104500.0
0.5300000000000001,579,198,66,214,412,0.7642857142857142,0.5194174757281553,99000.0,9900.0,108900.0
0.5400000000000001,586,191,66,214,405,0.7642857142857142,0.528395061728395,99000.0,9550.0,108550.0
0.5500000000000002,595,182,69,211,393,0.7535714285714286,0.5368956743002544,103500.0,9100.0,112600.0
0.5600000000000002,598,179,70,210,389,0.75,0.5398457583547558,105000.0,8950.0,113950.0
0.5700000000000002,600,177,72,208,385,0.7428571428571429,0.5402597402597402,108000.0,8850.0,116850.0
0.5800000000000002,606,171,75,205,376,0.7321428571428571,0.5452127659574468,112500.0,8550.0,121050.0
0.5900000000000002,614,163,77,203,366,0.725,0.5546448087431693,115500.0,8150.0,123650.0
0.6000000000000002,617,160,79,201,361,0.7178571428571429,0.556786703601108,118500.0,8000.0,126500.0
0.6100000000000001,621,156,80,200,356,0.7142857142857143,0.5617977528089888,120000.0,7800.0,127800.0
0.6200000000000001,624,153,82,198,351,0.7071428571428572,0.5641025641025641,123000.0,7650.0,130650.0
0.6300000000000001,628,149,85,195,344,0.6964285714285714,0.5668604651162791,127500.0,7450.0,134950.0
0.6400000000000001,636,141,90,190,331,0.6785714285714286,0.5740181268882175,135000.0,7050.0,142050.0
0.6500000000000001,642,135,91,189,324,0.675,0.5833333333333334,136500.0,6750.0,143250.0
0.6600000000000001,652,125,95,185,310,0.6607142857142857,0.5967741935483871,142500.0,6250.0,148750.0
0.6700000000000002,657,120,100,180,300,0.6428571428571429,0.6,150000.0,6000.0,156000.0
0.6800000000000002,662,115,102,178,293,0.6357142857142857,0.6075085324232082,153000.0,5750.0,158750.0
0.6900000000000002,671,106,106,174,280,0.6214285714285714,0.6214285714285714,159000.0,5300.0,164300.0
0.7000000000000002,680,97,112,168,265,0.6,0.6339622641509434,168000.0,4850.0,172850.0
0.7100000000000002,683,94,116,164,258,0.5857142857142857,0.6356589147286822,174000.0,4700.0,178700.0
0.7200000000000002,688,89,121,159,248,0.5678571428571428,0.6411290322580645,181500.0,4450.0,185950.0
0.7300000000000002,691,86,127,153,239,0.5464285714285714,0.6401673640167364,190500.0,4300.0,194800.0
0.7400000000000002,698,79,135,145,224,0.5178571428571429,0.6473214285714286,202500.0,3950.0,206450.0
0.7500000000000002,698,79,136,144,223,0.5142857142857142,0.6457399103139013,204000.0,3950.0,207950.0
0.7600000000000002,705,72,145,135,207,0.48214285714285715,0.6521739130434783,217500.0,3600.0,221100.0
0.7700000000000002,712,65,154,126,191,0.45,0.6596858638743456,231000.0,3250.0,234250.0
0.7800000000000001,716,61,159,121,182,0.43214285714285716,0.6648351648351648,238500.0,3050.0,241550.0
0.7900000000000001,725,52,166,114,166,0.40714285714285714,0.6867469879518072,249000.0,2600.0,251600.0
0.8000000000000002,731,46,171,109,155,0.3892857142857143,0.7032258064516129,256500.0,2300.0,258800.0
0.8100000000000002,736,41,178,102,143,0.36428571428571427,0.7132867132867133,267000.0,2050.0,269050.0
0.8200000000000002,744,33,192,88,121,0.3142857142857143,0.7272727272727273,288000.0,1650.0,289650.0
0.8300000000000002,747,30,203,77,107,0.275,0.719626168224299,304500.0,1500.0,306000.0
0.8400000000000002,753,24,214,66,90,0.2357142857142857,0.7333333333333333,321000.0,1200.0,322200.0
0.8500000000000002,757,20,227,53,73,0.18928571428571428,0.726027397260274,340500.0,1000.0,341500.0
0.8600000000000002,761,16,236,44,60,0.15714285714285714,0.7333333333333333,354000.0,800.0,354800.0
0.8700000000000002,766,11,241,39,50,0.1392857142857143,0.78,361500.0,550.0,362050.0
0.8800000000000002,769,8,251,29,37,0.10357142857142858,0.7837837837837838,376500.0,400.0,376900.0
0.8900000000000002,771,6,258,22,28,0.07857142857142857,0.7857142857142857,387000.0,300.0,387300.0
0.9000000000000002,771,6,270,10,16,0.03571428571428571,0.625,405000.0,300.0,405300.0
0.9100000000000003,774,3,272,8,11,0.02857142857142857,0.7272727272727273,408000.0,150.0,408150.0
0.9200000000000003,777,0,278,2,2,0.007142857142857143,1.0,417000.0,0.0,417000.0
0.9300000000000002,777,0,280,0,0,0.0,0.0,420000.0,0.0,420000.0
0.9400000000000002,777,0,280,0,0,0.0,0.0,420000.0,0.0,420000.0
0.9500000000000002,777,0,280,0,0,0.0,0.0,420000.0,0.0,420000.0
